label,article_of_option1,option1,article_of_option2,option2
fork,a,tree,a,cow
broom,a,horse,a,bear
necklace,a,centipede,a,spider
bow-tie,a,dragonfly,a,dalmatian
can,a,car,an,apple
tape_measure,a,chameleon,a,jellyfish
umbrella,a,dancer,a,painter
wine_bottle,a,bus,an,elephant
spoon,a,rose,a,lock
avocado,a,turtle,a,frog
tape,a,snail,a,motorcycle
pineapple,a,bouquet,a,palm tree
marker,a,plane,a,lantern
battery,a,car,a,snowman
card,a,tent,a,butterfly
paint_brush,a,fish,a,sheep
airplane,an,eagle,a,strawman
clock,an,armchair,a,crown
carnation,a,mop,a,bird
pear,a,cello,a,corn
apple,a,dog,a,tomato
baseball_bat,a,microphone,a,desk
bottle,a,rocket,a,horn
hairbrush,a,hedgehog,a,tiger
tennis_racket,a,guitar,an,accordion
train,a,caterpillar,a,duck
fire_truck,a,giraffe,a,phone
car,a,frog,a,crow
scissors,a,ballet dancer,an,opera singer
banana,a,phone,a,lemon
high_heel,a,ladder,a,rose
studio_couch,a,piano,a,drum
mug,an,elephant,a,caterpillar
bowl,a,swimming pool,a,sofa
binoculars,a,spaceship,a,piano
table_tennis_racket,a,peacock,a,tree
lemon,a,rugby ball,a,school bus
soap_dispenser,a,crane bird,a,hammer
towel,a,jellyfish,an,octopus
belt,a,snake,a,swan
jug,a,swan,a,woodpecker
stapler,a,crocodile,a,lion
calculator,a,bed,a,bench
hat,a,boat,a,nest
scarf,a,snake,a,sheep
volleyball,a,watermelon,a,corn
orange,a,lantern,a,carrot
briefcase,a,house,a,bridge
soup_spoon,a,duckling,a,cherry
balloon,a,boat,a,flower
